,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES
46,,,1942-02-16,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.73,",,6,",0.0,",,6,",,,USC00190562,37,",,6",15,",,6",34,",,6,",,,    1,",,6",,,,,,,,,,,,,,,,,,
47,,,1942-02-17,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,43,",,6",24,",,6",26,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
48,,,1942-02-18,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.04,",,6,",0.5,",,6,",,,USC00190562,42,",,6",19,",,6",24,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
49,,,1942-02-19,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,26,",,6",3,",,6",5,",,6,",,,,,,,,,,,,,,,,,,,,,,
50,,,1942-02-20,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,21,",,6",3,",,6",6,",,6,",,,,,,,,,,,,,,,,,,,,,,
51,,,1942-02-21,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,19,",,6",4,",,6",15,",,6,",,,,,,,,,,,,,,,,,,,,,,
52,,,1942-02-22,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,34,",,6",13,",,6",25,",,6,",,,,,,,,,,,,,,,,,,,,,,
53,,,1942-02-23,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"T,,6,",0.0,"T,,6,",,,USC00190562,34,",,6",6,",,6",13,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
54,,,1942-02-24,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,40,",,6",13,",,6",17,",,6,",,,,,,,,,,,,,,,,,,,,,,
55,,,1942-02-25,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,38,",,6",16,",,6",20,",,6,",,,,,,,,,,,,,,,,,,,,,,
56,,,1942-02-26,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,36,",,6",16,",,6",23,",,6,",,,,,,,,,,,,,,,,,,,,,,
57,,,1942-02-27,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.02,",,6,",0.2,",,6,",,,USC00190562,36,",,6",21,",,6",30,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
58,,,1942-02-28,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,44,",,6",28,",,6",31,",,6,",,,,,,,,,,,,,,,,,,,,,,
59,,,1942-03-01,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,47,",,6",,,31,",,6,",,,,,,,,,,,,,,,,,,,,,,
60,,,1942-03-02,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.20,",,6,",0.5,",,6,",,,USC00190562,46,",,6",,,34,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",    1,",,6"
61,,,1942-03-03,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.30,",,6,",0.5,",,6,",,,USC00190562,45,",,6",,,34,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",    1,",,6"
62,,,1942-03-04,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,44,",,6",,,26,",,6,",,,,,,,,,,,,,,,,,,,,,,
63,,,1942-03-05,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.02,",,6,",0.0,",,6,",,,USC00190562,53,",,6",,,35,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
64,,,1942-03-06,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.54,",,6,",1.5,",,6,",,,USC00190562,38,",,6",,,28,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",    1,",,6"
65,,,1942-03-07,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,49,",,6",,,35,",,6,",,,,,,,,,,,,,,,,,,,,,,
66,,,1942-03-08,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",1.30,",,6,",0.0,",,6,",,,USC00190562,62,",,6",,,58,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
67,,,1942-03-09,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.12,",,6,",0.0,",,6,",,,USC00190562,61,",,6",,,33,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
68,,,1942-03-10,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,44,",,6",,,29,",,6,",,,,,,,,,,,,,,,,,,,,,,
69,,,1942-03-11,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,52,",,6",,,35,",,6,",,,,,,,,,,,,,,,,,,,,,,
70,,,1942-03-12,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.15,",,6,",0.0,",,6,",,,USC00190562,47,",,6",,,29,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
71,,,1942-03-13,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.08,",,6,",0.8,",,6,",,,USC00190562,54,",,6",,,30,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
72,,,1942-03-14,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.54,",,6,",5.5,",,6,",,,USC00190562,34,",,6",,,31,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
73,,,1942-03-15,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,36,",,6",,,30,",,6,",,,,,,,,,,,,,,,,,,,,,,
74,,,1942-03-16,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",1.43,",,6,",0.0,"T,,6,",,,USC00190562,49,",,6",,,33,",,6,",,,,,    1,",,6",,,,,,,,,,,,,,,,
75,,,1942-03-17,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.05,",,6,",0.0,",,6,",,,USC00190562,38,",,6",,,37,",,6,",,,    1,",,6",,,,,,,,,,,,,,,    1,",,6",,
76,,,1942-03-18,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,54,",,6",,,37,",,6,",,,    1,",,6",,,,,,,,,,,,,,,,,,
77,,,1942-03-19,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,40,",,6",,,28,",,6,",,,,,,,,,,,,,,,,,,,,,,
78,,,1942-03-20,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,50,",,6",,,28,",,6,",,,,,,,,,,,,,,,,,,,,,,
79,,,1942-03-21,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.08,",,6,",0.0,"T,,6,",,,USC00190562,50,",,6",,,35,",,6,",,,,,,,    1,",,6",,,,,,,,,,,,,,
80,,,1942-03-22,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.10,",,6,",1.2,",,6,",,,USC00190562,46,",,6",,,29,",,6,",,,,,,,,,    1,",,6",,,,,,,,,,,    1,",,6"
81,,,1942-03-23,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"T,,6,",0.0,"T,,6,",,,USC00190562,41,",,6",,,29,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
82,,,1942-03-24,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,42,",,6",,,29,",,6,",,,,,,,,,,,,,,,,,,,,,,
83,,,1942-03-25,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,48,",,6",,,34,",,6,",,,,,,,,,,,,,,,,,,,,,,
84,,,1942-03-26,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,50,",,6",,,26,",,6,",,,,,,,,,,,,,,,,,,,,,,
85,,,1942-03-27,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,62,",,6",,,31,",,6,",,,,,,,,,,,,,,,,,,,,,,
86,,,1942-03-28,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,47,",,6",,,32,",,6,",,,,,,,,,,,,,,,,,,,,,,
87,,,1942-03-29,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.13,",,6,",1.5,",,6,",,,USC00190562,49,",,6",,,31,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
88,,,1942-03-30,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.04,",,6,",0.5,",,6,",,,USC00190562,41,",,6",,,34,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
89,,,1942-03-31,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"T,,6,",0.0,",,6,",,,USC00190562,51,",,6",,,31,",,6,",,,,,,,,,,,,,,,,,    1,",,6",,,,
90,,,1942-04-01,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,48,",,6",25,",,6",32,",,6,",,,,,,,,,,,,,,,,,,,,,,
91,,,1942-04-02,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,61,",,6",31,",,6",45,",,6,",,,,,,,,,,,,,,,,,,,,,,
92,,,1942-04-03,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.06,",,6,",0.0,",,6,",,,USC00190562,66,",,6",40,",,6",42,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
93,,,1942-04-04,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,52,",,6",27,",,6",32,",,6,",,,,,,,,,,,,,,,,,,,,,,
94,,,1942-04-05,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,60,",,6",31,",,6",39,",,6,",,,,,,,,,,,,,,,,,,,,,,
95,,,1942-04-06,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,74,",,6",38,",,6",45,",,6,",,,,,,,,,,,,,,,,,,,,,,
96,,,1942-04-07,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.15,",,6,",0.0,",,6,",,,USC00190562,71,",,6",38,",,6",44,",,6,",,,,,,,,,,,,,,,,,,,    1,",,6",,
97,,,1942-04-08,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.00,"P,,6,",0.0,",,6,",,,USC00190562,57,",,6",33,",,6",36,",,6,",,,,,,,,,,,,,,,,,,,,,,
98,,,1942-04-09,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.04,",,6,",0.5,",,6,",,,USC00190562,45,",,6",29,",,6",31,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
99,,,1942-04-10,167.6,42.2796,-72.3482,,,"BELCHERTOWN, MA US",0.46,",,6,",5.5,",,6,",,,USC00190562,34,",,6",29,",,6",31,",,6,",,,,,,,,,,,,,,,,,,,,,    1,",,6"
