,STATION,NAME,DATE,SEASON,TMIN,TMAX,TAVG
198,USW00014739,"BOSTON, MA US",1937-07-18,SUMMER,68,83,
199,USW00014739,"BOSTON, MA US",1937-07-19,SUMMER,64,77,
200,USW00014739,"BOSTON, MA US",1937-07-20,SUMMER,66,77,
201,USW00014739,"BOSTON, MA US",1937-07-21,SUMMER,62,75,
202,USW00014739,"BOSTON, MA US",1937-07-22,SUMMER,58,76,
203,USW00014739,"BOSTON, MA US",1937-07-23,SUMMER,64,86,
204,USW00014739,"BOSTON, MA US",1937-07-24,SUMMER,66,93,
205,USW00014739,"BOSTON, MA US",1937-07-25,SUMMER,71,88,
206,USW00014739,"BOSTON, MA US",1937-07-26,SUMMER,70,84,
207,USW00014739,"BOSTON, MA US",1937-07-27,SUMMER,68,82,
208,USW00014739,"BOSTON, MA US",1937-07-28,SUMMER,63,77,
209,USW00014739,"BOSTON, MA US",1937-07-29,SUMMER,61,80,
210,USW00014739,"BOSTON, MA US",1937-07-30,SUMMER,63,76,
211,USW00014739,"BOSTON, MA US",1937-07-31,SUMMER,61,79,
212,USW00014739,"BOSTON, MA US",1937-08-01,SUMMER,64,73,
213,USW00014739,"BOSTON, MA US",1937-08-02,SUMMER,64,78,
214,USW00014739,"BOSTON, MA US",1937-08-03,SUMMER,65,83,
215,USW00014739,"BOSTON, MA US",1937-08-04,SUMMER,67,90,
216,USW00014739,"BOSTON, MA US",1937-08-05,SUMMER,69,88,
217,USW00014739,"BOSTON, MA US",1937-08-06,SUMMER,72,91,
218,USW00014739,"BOSTON, MA US",1937-08-07,SUMMER,69,84,
219,USW00014739,"BOSTON, MA US",1937-08-08,SUMMER,70,88,
220,USW00014739,"BOSTON, MA US",1937-08-09,SUMMER,70,79,
221,USW00014739,"BOSTON, MA US",1937-08-10,SUMMER,71,87,
222,USW00014739,"BOSTON, MA US",1937-08-11,SUMMER,73,86,
223,USW00014739,"BOSTON, MA US",1937-08-12,SUMMER,70,84,
224,USW00014739,"BOSTON, MA US",1937-08-13,SUMMER,72,87,
225,USW00014739,"BOSTON, MA US",1937-08-14,SUMMER,65,80,
226,USW00014739,"BOSTON, MA US",1937-08-15,SUMMER,60,83,
227,USW00014739,"BOSTON, MA US",1937-08-16,SUMMER,66,93,
228,USW00014739,"BOSTON, MA US",1937-08-17,SUMMER,70,94,
229,USW00014739,"BOSTON, MA US",1937-08-18,SUMMER,66,86,
230,USW00014739,"BOSTON, MA US",1937-08-19,SUMMER,65,80,
231,USW00014739,"BOSTON, MA US",1937-08-20,SUMMER,74,98,
232,USW00014739,"BOSTON, MA US",1937-08-21,SUMMER,72,95,
233,USW00014739,"BOSTON, MA US",1937-08-22,SUMMER,59,76,
234,USW00014739,"BOSTON, MA US",1937-08-23,SUMMER,57,62,
235,USW00014739,"BOSTON, MA US",1937-08-24,SUMMER,57,69,
236,USW00014739,"BOSTON, MA US",1937-08-25,SUMMER,59,77,
237,USW00014739,"BOSTON, MA US",1937-08-26,SUMMER,63,76,
238,USW00014739,"BOSTON, MA US",1937-08-27,SUMMER,66,72,
239,USW00014739,"BOSTON, MA US",1937-08-28,SUMMER,64,82,
240,USW00014739,"BOSTON, MA US",1937-08-29,SUMMER,61,79,
241,USW00014739,"BOSTON, MA US",1937-08-30,SUMMER,65,84,
242,USW00014739,"BOSTON, MA US",1937-08-31,SUMMER,69,84,
243,USW00014739,"BOSTON, MA US",1937-09-01,SUMMER,68,85,
244,USW00014739,"BOSTON, MA US",1937-09-02,SUMMER,68,85,
245,USW00014739,"BOSTON, MA US",1937-09-03,SUMMER,73,93,
246,USW00014739,"BOSTON, MA US",1937-09-04,SUMMER,65,93,
247,USW00014739,"BOSTON, MA US",1937-09-05,SUMMER,56,65,
248,USW00014739,"BOSTON, MA US",1937-09-06,SUMMER,51,65,
249,USW00014739,"BOSTON, MA US",1937-09-07,SUMMER,52,75,
250,USW00014739,"BOSTON, MA US",1937-09-08,SUMMER,56,77,
251,USW00014739,"BOSTON, MA US",1937-09-09,SUMMER,52,68,
252,USW00014739,"BOSTON, MA US",1937-09-10,SUMMER,54,73,
253,USW00014739,"BOSTON, MA US",1937-09-11,SUMMER,61,66,
254,USW00014739,"BOSTON, MA US",1937-09-12,SUMMER,62,74,
255,USW00014739,"BOSTON, MA US",1937-09-13,SUMMER,58,63,
256,USW00014739,"BOSTON, MA US",1937-09-14,SUMMER,55,65,
257,USW00014739,"BOSTON, MA US",1937-09-15,SUMMER,54,72,
258,USW00014739,"BOSTON, MA US",1937-09-16,SUMMER,60,77,
259,USW00014739,"BOSTON, MA US",1937-09-17,SUMMER,55,69,
260,USW00014739,"BOSTON, MA US",1937-09-18,SUMMER,48,63,
261,USW00014739,"BOSTON, MA US",1937-09-19,SUMMER,50,62,
262,USW00014739,"BOSTON, MA US",1937-09-20,SUMMER,48,61,
263,USW00014739,"BOSTON, MA US",1937-09-21,FALL,45,68,
264,USW00014739,"BOSTON, MA US",1937-09-22,FALL,48,64,
265,USW00014739,"BOSTON, MA US",1937-09-23,FALL,53,74,
266,USW00014739,"BOSTON, MA US",1937-09-24,FALL,55,73,
267,USW00014739,"BOSTON, MA US",1937-09-25,FALL,57,69,
268,USW00014739,"BOSTON, MA US",1937-09-26,FALL,56,81,
269,USW00014739,"BOSTON, MA US",1937-09-27,FALL,50,62,
