,DAPR,DAPR_ATTRIBUTES,DATE,ELEVATION,LATITUDE,LONGITUDE,MDPR,MDPR_ATTRIBUTES,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,STATION,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
69,,,1959-04-11,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.37,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,47,",,0",37,",,0",45,",,0,0800",    1,",,0",,,,,,,,,,
70,,,1959-04-12,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.03,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,45,",,0",30,",,0",39,",,0,0800",,,,,,,,,,,,
71,,,1959-04-13,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,46,",,0",27,",,0",45,",,0,0800",,,,,,,,,,,,
72,,,1959-04-14,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,54,",,0",19,",,0",54,",,0,0800",,,,,,,,,,,,
73,,,1959-04-15,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,61,",,0",23,",,0",60,",,0,0800",,,,,,,,,,,,
74,,,1959-04-16,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,70,",,0",28,",,0",68,",,0,0800",,,,,,,,,,,,
75,,,1959-04-17,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",42,",,0",68,",,0,0800",,,,,,,,,,,,
76,,,1959-04-18,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",37,",,0",52,",,0,0800",,,,,,,,,,,,
77,,,1959-04-19,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.03,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,70,",,0",43,",,0",68,",,0,0800",,,,,,,,,,,,
78,,,1959-04-20,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.35,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",37,",,0",40,",,0,0800",,,,,,,,,,,,
79,,,1959-04-21,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,52,",,0",30,",,0",52,",,0,0800",,,,,,,,,,,,
80,,,1959-04-22,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,56,",,0",22,",,0",55,",,0,0800",,,,,,,,,,,,
81,,,1959-04-23,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,57,",,0",26,",,0",55,",,0,0800",,,,,,,,,,,,
82,,,1959-04-24,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,67,",,0",25,",,0",66,",,0,0800",,,,,,,,,,,,
83,,,1959-04-25,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,70,",,0",37,",,0",68,",,0,0800",,,,,,,,,,,,
84,,,1959-04-26,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.05,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,68,",,0",42,",,0",55,",,0,0800",,,,,,,,,,,,
85,,,1959-04-27,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.75,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,55,",,0",37,",,0",37,",,0,0800",,,,,,,,,,,,
86,,,1959-04-28,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.15,",,0,0800",0.0,"T,,0,",0.0,",,0,",USC00190408,48,",,0",34,",,0",44,",,0,0800",,,,,    1,",,0",,,,,,
87,,,1959-04-29,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.55,",,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,44,",,0",33,",,0",40,",,0,0800",,,,,,,,,,,,
88,,,1959-04-30,251.5,42.428,-72.0275,,,"BARRE FALLS DAM, MA US",0.00,"T,,0,0800",0.0,",,0,",0.0,",,0,",USC00190408,46,",,0",35,",,0",45,",,0,0800",    1,",,0",,,,,,,,,,
